run_id,model,backbone,variant,scope,stratum,metric,value,ci_low,ci_high,status,profile,seed,git_sha,config_hash,total_parameters,trainable_parameters
deeplabv3plus__pretrained__resnet50__in_rover__seed1414__gpu_full__71491561__gitc188b320__codebebd8b2d__20260711T052558603387Z,deeplabv3plus,resnet50,pretrained,big_rock,per_class,iou,0.3378970330040612,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,71491561ce77c9b12d35565a252078b389b0ec5c532eb52bf8ef128bec9106b9,26678356.0,26678356.0
deeplabv3plus__pretrained__resnet50__in_rover__seed1414__gpu_full__71491561__gitc188b320__codebebd8b2d__20260711T052558603387Z,deeplabv3plus,resnet50,pretrained,ALL,all,pixel_acc,0.9807498805110874,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,71491561ce77c9b12d35565a252078b389b0ec5c532eb52bf8ef128bec9106b9,26678356.0,26678356.0
deeplabv3plus__pretrained__resnet50__in_rover__seed1414__gpu_full__71491561__gitc188b320__codebebd8b2d__20260711T052558603387Z,deeplabv3plus,resnet50,pretrained,ALL,all,boundary_f1,0.8553467488810492,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,71491561ce77c9b12d35565a252078b389b0ec5c532eb52bf8ef128bec9106b9,26678356.0,26678356.0
deeplabv3plus__scratch__resnet50__in_rover__seed1414__gpu_full__286228c3__gitc188b320__codebebd8b2d__20260711T093209622760Z,deeplabv3plus,resnet50,scratch,ALL,all,miou,0.8275122584804653,0.7334034736658658,0.9105078038954759,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,286228c37c56a9aba258b878122b8df67a522fbe55610dd560b883e441400447,26678356.0,26678356.0
deeplabv3plus__scratch__resnet50__in_rover__seed1414__gpu_full__286228c3__gitc188b320__codebebd8b2d__20260711T093209622760Z,deeplabv3plus,resnet50,scratch,ALL,all,n,322.0,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,286228c37c56a9aba258b878122b8df67a522fbe55610dd560b883e441400447,26678356.0,26678356.0
deeplabv3plus__scratch__resnet50__in_rover__seed1414__gpu_full__286228c3__gitc188b320__codebebd8b2d__20260711T093209622760Z,deeplabv3plus,resnet50,scratch,soil,per_class,iou,0.9821837597192155,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,286228c37c56a9aba258b878122b8df67a522fbe55610dd560b883e441400447,26678356.0,26678356.0
deeplabv3plus__scratch__resnet50__in_rover__seed1414__gpu_full__286228c3__gitc188b320__codebebd8b2d__20260711T093209622760Z,deeplabv3plus,resnet50,scratch,bedrock,per_class,iou,0.9385356967282515,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,286228c37c56a9aba258b878122b8df67a522fbe55610dd560b883e441400447,26678356.0,26678356.0
deeplabv3plus__scratch__resnet50__in_rover__seed1414__gpu_full__286228c3__gitc188b320__codebebd8b2d__20260711T093209622760Z,deeplabv3plus,resnet50,scratch,sand,per_class,iou,0.970607975286384,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,286228c37c56a9aba258b878122b8df67a522fbe55610dd560b883e441400447,26678356.0,26678356.0
deeplabv3plus__scratch__resnet50__in_rover__seed1414__gpu_full__286228c3__gitc188b320__codebebd8b2d__20260711T093209622760Z,deeplabv3plus,resnet50,scratch,big_rock,per_class,iou,0.4187216021880101,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,286228c37c56a9aba258b878122b8df67a522fbe55610dd560b883e441400447,26678356.0,26678356.0
deeplabv3plus__scratch__resnet50__in_rover__seed1414__gpu_full__286228c3__gitc188b320__codebebd8b2d__20260711T093209622760Z,deeplabv3plus,resnet50,scratch,ALL,all,pixel_acc,0.9838906000311387,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,286228c37c56a9aba258b878122b8df67a522fbe55610dd560b883e441400447,26678356.0,26678356.0
deeplabv3plus__scratch__resnet50__in_rover__seed1414__gpu_full__286228c3__gitc188b320__codebebd8b2d__20260711T093209622760Z,deeplabv3plus,resnet50,scratch,ALL,all,boundary_f1,0.8415009744103654,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,286228c37c56a9aba258b878122b8df67a522fbe55610dd560b883e441400447,26678356.0,26678356.0
segformer__pretrained__mit-b0__in_rover__seed1414__gpu_full__22d89713__gitc188b320__codebebd8b2d__20260711T152946214899Z,segformer,mit-b0,pretrained,ALL,all,miou,0.8046949843978545,0.7262797063459584,0.9088860347822566,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,22d897136ec705bbc9d3a516fe8967dd489a88c91eee2b7e2787e5ed9a3d4e83,3715172.0,3715172.0
segformer__pretrained__mit-b0__in_rover__seed1414__gpu_full__22d89713__gitc188b320__codebebd8b2d__20260711T152946214899Z,segformer,mit-b0,pretrained,ALL,all,n,322.0,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,22d897136ec705bbc9d3a516fe8967dd489a88c91eee2b7e2787e5ed9a3d4e83,3715172.0,3715172.0
segformer__pretrained__mit-b0__in_rover__seed1414__gpu_full__22d89713__gitc188b320__codebebd8b2d__20260711T152946214899Z,segformer,mit-b0,pretrained,soil,per_class,iou,0.979865611264949,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,22d897136ec705bbc9d3a516fe8967dd489a88c91eee2b7e2787e5ed9a3d4e83,3715172.0,3715172.0
segformer__pretrained__mit-b0__in_rover__seed1414__gpu_full__22d89713__gitc188b320__codebebd8b2d__20260711T152946214899Z,segformer,mit-b0,pretrained,bedrock,per_class,iou,0.9389754350734805,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,22d897136ec705bbc9d3a516fe8967dd489a88c91eee2b7e2787e5ed9a3d4e83,3715172.0,3715172.0
segformer__pretrained__mit-b0__in_rover__seed1414__gpu_full__22d89713__gitc188b320__codebebd8b2d__20260711T152946214899Z,segformer,mit-b0,pretrained,sand,per_class,iou,0.9617672949798063,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,22d897136ec705bbc9d3a516fe8967dd489a88c91eee2b7e2787e5ed9a3d4e83,3715172.0,3715172.0
segformer__pretrained__mit-b0__in_rover__seed1414__gpu_full__22d89713__gitc188b320__codebebd8b2d__20260711T152946214899Z,segformer,mit-b0,pretrained,big_rock,per_class,iou,0.3381715962731821,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,22d897136ec705bbc9d3a516fe8967dd489a88c91eee2b7e2787e5ed9a3d4e83,3715172.0,3715172.0
segformer__pretrained__mit-b0__in_rover__seed1414__gpu_full__22d89713__gitc188b320__codebebd8b2d__20260711T152946214899Z,segformer,mit-b0,pretrained,ALL,all,pixel_acc,0.9819637996383377,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,22d897136ec705bbc9d3a516fe8967dd489a88c91eee2b7e2787e5ed9a3d4e83,3715172.0,3715172.0
segformer__pretrained__mit-b0__in_rover__seed1414__gpu_full__22d89713__gitc188b320__codebebd8b2d__20260711T152946214899Z,segformer,mit-b0,pretrained,ALL,all,boundary_f1,0.8614272384691357,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,22d897136ec705bbc9d3a516fe8967dd489a88c91eee2b7e2787e5ed9a3d4e83,3715172.0,3715172.0
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,segformer,mit-b0,scratch,ALL,all,miou,0.7995024913395008,0.6972771596564559,0.8508809037432187,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,59ab550db7fdae031e242d857c64b82881e674f4604b1bd3750bbe100910fe98,3715172.0,3715172.0
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,segformer,mit-b0,scratch,ALL,all,n,322.0,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,59ab550db7fdae031e242d857c64b82881e674f4604b1bd3750bbe100910fe98,3715172.0,3715172.0
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,segformer,mit-b0,scratch,soil,per_class,iou,0.9500880897774475,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,59ab550db7fdae031e242d857c64b82881e674f4604b1bd3750bbe100910fe98,3715172.0,3715172.0
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,segformer,mit-b0,scratch,bedrock,per_class,iou,0.8927892629382812,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,59ab550db7fdae031e242d857c64b82881e674f4604b1bd3750bbe100910fe98,3715172.0,3715172.0
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,segformer,mit-b0,scratch,sand,per_class,iou,0.904880226335727,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,59ab550db7fdae031e242d857c64b82881e674f4604b1bd3750bbe100910fe98,3715172.0,3715172.0
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,segformer,mit-b0,scratch,big_rock,per_class,iou,0.4502523863065477,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,59ab550db7fdae031e242d857c64b82881e674f4604b1bd3750bbe100910fe98,3715172.0,3715172.0
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,segformer,mit-b0,scratch,ALL,all,pixel_acc,0.9607025185496342,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,59ab550db7fdae031e242d857c64b82881e674f4604b1bd3750bbe100910fe98,3715172.0,3715172.0
segformer__scratch__mit-b0__in_rover__seed1414__gpu_full__59ab550d__gitc188b320__codebebd8b2d__20260712T002402137718Z,segformer,mit-b0,scratch,ALL,all,boundary_f1,0.8008646410146755,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,59ab550db7fdae031e242d857c64b82881e674f4604b1bd3750bbe100910fe98,3715172.0,3715172.0
segformer__pretrained__mit-b2__in_rover__seed1414__gpu_full__297bbe53__gitc188b320__codebebd8b2d__20260712T112034243611Z,segformer,mit-b2,pretrained,ALL,all,miou,0.7985328261077126,0.7310947662732251,0.8763911887079836,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,297bbe53fced21c0e78f1b2fcdc75050c16fbb302803af634f1d9ff1d4cbd05b,27349700.0,27349700.0
segformer__pretrained__mit-b2__in_rover__seed1414__gpu_full__297bbe53__gitc188b320__codebebd8b2d__20260712T112034243611Z,segformer,mit-b2,pretrained,ALL,all,n,322.0,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,297bbe53fced21c0e78f1b2fcdc75050c16fbb302803af634f1d9ff1d4cbd05b,27349700.0,27349700.0
segformer__pretrained__mit-b2__in_rover__seed1414__gpu_full__297bbe53__gitc188b320__codebebd8b2d__20260712T112034243611Z,segformer,mit-b2,pretrained,soil,per_class,iou,0.9842515131210133,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,297bbe53fced21c0e78f1b2fcdc75050c16fbb302803af634f1d9ff1d4cbd05b,27349700.0,27349700.0
segformer__pretrained__mit-b2__in_rover__seed1414__gpu_full__297bbe53__gitc188b320__codebebd8b2d__20260712T112034243611Z,segformer,mit-b2,pretrained,bedrock,per_class,iou,0.9385102685672881,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,297bbe53fced21c0e78f1b2fcdc75050c16fbb302803af634f1d9ff1d4cbd05b,27349700.0,27349700.0
segformer__pretrained__mit-b2__in_rover__seed1414__gpu_full__297bbe53__gitc188b320__codebebd8b2d__20260712T112034243611Z,segformer,mit-b2,pretrained,sand,per_class,iou,0.9747955815535047,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,297bbe53fced21c0e78f1b2fcdc75050c16fbb302803af634f1d9ff1d4cbd05b,27349700.0,27349700.0
segformer__pretrained__mit-b2__in_rover__seed1414__gpu_full__297bbe53__gitc188b320__codebebd8b2d__20260712T112034243611Z,segformer,mit-b2,pretrained,big_rock,per_class,iou,0.29657394118904395,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,297bbe53fced21c0e78f1b2fcdc75050c16fbb302803af634f1d9ff1d4cbd05b,27349700.0,27349700.0
segformer__pretrained__mit-b2__in_rover__seed1414__gpu_full__297bbe53__gitc188b320__codebebd8b2d__20260712T112034243611Z,segformer,mit-b2,pretrained,ALL,all,pixel_acc,0.9846852094218235,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,297bbe53fced21c0e78f1b2fcdc75050c16fbb302803af634f1d9ff1d4cbd05b,27349700.0,27349700.0
segformer__pretrained__mit-b2__in_rover__seed1414__gpu_full__297bbe53__gitc188b320__codebebd8b2d__20260712T112034243611Z,segformer,mit-b2,pretrained,ALL,all,boundary_f1,0.8518637878923483,,,ok,gpu_full,1414,c188b320d700e01c8ffb37330e30f188862ad995,297bbe53fced21c0e78f1b2fcdc75050c16fbb302803af634f1d9ff1d4cbd05b,27349700.0,27349700.0
